name,description,category,url
Chamber Music at Virginia Tech,"At Chamber Music at Virginia Tech, we believe that everyone should have the opportunity to continue their passion for music, regardless of their major or academic commitments. We understand that traditional music courses and ensembles may not fit into every student’s schedule, so our organization…",Arts & Entertainment,https://gobblerconnect.vt.edu/chambermusichokie/
Chamber Singers at Virginia Tech,"The Chambers Singers at Virginia Tech is the university's premiere mixed choral group. Chamber Singers performs a wide variety of music, ranging from Baroque classics to spirituals, pop, master works and more.",Arts & Entertainment,https://gobblerconnect.vt.edu/chambersingers/
Chaoxic Dance Crew,"Chaoxic welcomes everyone who enjoys dances including Hip-hop, K-pop, jazz, Chinese-inspired choreography, and more. We hold weekly workshops and participate in cultural performances each semester.",Arts & Entertainment,https://gobblerconnect.vt.edu/chaoxic/
Chapter of the Student American Veterinary Medical Association,"Our VMCVM SAVMA chapter exists to support, empower, and inspire all veterinary students in improving their lives, education, and career, along with securing a better future for our profession through collaboration with our parent organization, the AVMA.",Academic,https://dvm.vetmed.vt.edu/current-students/student-organizations.html
Chem-E-Car at Virginia Tech,"Design, build, and tests a car that is controlled by chemical reactions with the goal of stopping as close to a set distance as possible. We compete in Regional and National AIChE competitions throughout the year.",Academic,http://chemecarvt.wixsite.com/vtcarteam
ChemE Cube at Virginia Tech,"We are a team that designs, builds, and showcases a 1 cubic foot chemical plant to complete a chemistry challenge provided by AIChE every year. We use a variety of chemistry, controls, and mechanics to achieve our goal.",Academic,https://gobblerconnect.vt.edu/chemecubeatvirginiatech/
ChemE-Sports at Virginia Tech,"ChemE‑Sports teaches students to operate a distillation column safely and efficiently using VR and DCS simulations. Its mission is to build real‑world process‑safety awareness, strengthen optimization and troubleshooting skills, and develop confident teamwork under pressure.",Academic,https://gobblerconnect.vt.edu/ChemESports/
Chemistry Graduate Student Senate,The Chemistry Graduate Student Senate (C-GSS) serves the graduate student body of the Chemistry Department. Our goal is to represent the interests of chemistry graduate students in all university activities.,Advocacy & Awareness,https://gobblerconnect.vt.edu/cgss/
Chess Club at Virginia Tech,"We are dedicated to providing a friendly environment for learning and playing chess at Virginia Tech. As of Fall 2026, we meet on Sundays and Thursdays, typically in Squires Room 343. For a detailed list of specific meeting times and locations, please view the documents tab. Join our discord where…",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/chessclubvirginiatech/
Chi Alpha Christian Fellowship,"A diverse community that seeks to know God, love one another, and impact the campus. Our vision is to reconcile Virginia Tech students to Christ, and build a strong foundation for a lifelong relationship with Him!",Religious,https://vtxa.com/
Chi Delta Alpha,"Chi Delta Alpha is Virginia Tech's oldest all-female service organization open to all women on campus. The sorority contributes to the New River Valley through numerous service efforts, as members are required to complete at least 32 hours per semester.Members are required to complete at least 32…",Service & Charity,https://chideltaalphaweb.wixsite.com/virginiatech
Chi Epsilon Pi at Virginia Tech,"Chi Epsilon Pi is the national meteorology and atmospheric science honor society, recognizing academic excellence, leadership, and service within the field. Founded to promote scholarship and professional development among students of atmospheric science, it encourages collaboration between…",Academic,https://gobblerconnect.vt.edu/chiepsilonpi/
Chinese American Society at Virginia Tech,The Chinese American Society (CAS) at Virginia Tech is a student organization that aims to introduce and promote Chinese culture to the general student body and local community. We are an inclusive and welcoming organization that welcomes students of any cultural background. CAS strives to…,Cultural & International,https://gobblerconnect.vt.edu/chineseamericansociety/
Chinese Basketball Club at Virginia Tech,A Chinese basketball club offers chances for anybody who is interested in playing basketball.,Arts & Entertainment,https://gobblerconnect.vt.edu/organization/CNBC
Chinese Language and Cultural Club,"The Chinese Language and Culture Club at Virginia Tech is a fun, welcoming space for anyone interested in Chinese culture and language! As both a social and cultural organization, we host events and activities exploring China’s culture and tradition.",Other,https://gobblerconnect.vt.edu/clcc/
Chocolate Milk Monday Club,"Mondays bringing you down? Want to make some new friends? Like quality chocolate milk? Try Chocolate Milk Monday! We meet every Monday at 6:00 at D2 in Dietrick Hall, so come join us as we do everything fun in and around Blacksburg! All are welcome.Join our Discord server through the ""website""…",Enthusiasts & Special Interests,https://discord.gg/dXtW95ufEJ
Christ Church Campus Ministry,C3 is a ministry of Christ Church which seeks to encounter students from Virginia Tech through on-campus gatherings and special events.We want to move students towards ministry of God’s Word and discipleship relationships in order to confront them with God’s claims on their lives and the good news…,Religious,https://gobblerconnect.vt.edu/christchurchcampus/
Christ Episcopal Church Student Ministry,Canterbury Fellowship is an Episcopal Church campus ministry group focused on helping us build our relationship with God by challenging us to expand our beliefs.,Religious,https://gobblerconnect.vt.edu/canterburyfellowship/
